UMAP1	UMAP2	cCRE_type	chrom	start	end	rDHS	length
7.713365	5.994004	dELS	chr1	1782904	1783250	EH38E2777939	346
6.040754	-0.1467396	PLS	chr1	1890996	1891331	EH38E1311282	335
6.0917454	-0.097201	PLS	chr1	1890996	1891331	EH38E1311282	335
8.105586	3.3966644	dELS	chr1	1908544	1908747	EH38E2778055	203
7.3704853	2.5551584	dELS	chr1	1908779	1909031	EH38E3951733	252
5.322254	0.9710348	dELS	chr1	1909055	1909402	EH38E2778057	347
3.4657156	2.5998955	dELS	chr1	1909439	1909698	EH38E2778058	259
3.0742068	3.4507697	dELS	chr1	1909719	1909941	EH38E2778059	222
9.650908	3.7327118	PLS	chr1	1918501	1918847	EH38E2778078	346
7.589707	1.3116906	PLS	chr1	2003662	2004009	EH38E3951768	347
3.0279007	1.1126478	PLS	chr1	2050131	2050479	EH38E2778248	348
5.769402	4.6528697	dELS	chr1	2175806	2176048	EH38E2778463	242
2.577785	4.0311775	dELS	chr1	2176063	2176325	EH38E2778464	262
4.173788	5.506979	dELS	chr1	2176393	2176551	EH38E2778465	158
4.362627	5.5520205	dELS	chr1	2176657	2176815	EH38E3951807	158
5.1389027	5.7086473	dELS	chr1	2179468	2179817	EH38E2778471	349
4.035768	5.1759243	dELS	chr1	2180360	2180705	EH38E2778473	345
9.197431	5.586277	dELS	chr1	2189468	2189818	EH38E1311579	350
8.818149	6.027193	dELS	chr1	2189933	2190139	EH38E2778486	206
8.499609	6.3055353	dELS	chr1	2190156	2190413	EH38E2778487	257
8.420526	6.5628633	dELS	chr1	2190455	2190657	EH38E2778488	202
8.404225	6.7031503	dELS	chr1	2190676	2190963	EH38E2778489	287
7.015656	0.009655201	PLS	chr1	2194584	2194880	EH38E3951812	296
8.281576	5.6534767	dELS	chr1	2197853	2198142	EH38E2778506	289
4.5498085	-1.0505234	dELS	chr1	2199176	2199526	EH38E2778509	350
2.5520978	2.2378027	dELS	chr1	2199599	2199771	EH38E1311600	172
3.6029506	5.378915	dELS	chr1	2204424	2204677	EH38E2778517	253
3.163427	4.7006903	dELS	chr1	2204807	2205041	EH38E2778518	234
2.3002918	4.385235	dELS	chr1	2205052	2205328	EH38E2778519	276
1.8236887	3.0651953	dELS	chr1	2205343	2205630	EH38E2778520	287
1.4611992	3.123591	dELS	chr1	2205728	2205910	EH38E2778521	182
3.5070674	0.9316993	PLS	chr1	2228190	2228360	EH38E2778563	170
-1.3530594	5.4289117	dELS	chr1	2230324	2230654	EH38E2778569	330
-1.1070076	5.6772337	dELS	chr1	2230709	2231027	EH38E3951819	318
-1.0493271	5.7833705	dELS	chr1	2231048	2231396	EH38E3951820	348
-1.041021	5.9226313	dELS	chr1	2231399	2231569	EH38E3951821	170
-1.0311904	5.7639346	dELS	chr1	2231736	2231898	EH38E2778573	162
-0.7431803	5.849409	dELS	chr1	2231904	2232251	EH38E3951822	347
-0.966821	5.765683	dELS	chr1	2232320	2232527	EH38E3951823	207
-1.5115094	5.688686	dELS	chr1	2232656	2232995	EH38E2778577	339
-1.7288716	5.815118	dELS	chr1	2232999	2233267	EH38E2778578	268
-1.0498002	7.270301	dELS	chr1	2255335	2255512	EH38E2778622	177
-1.1692498	7.1671824	dELS	chr1	2255520	2255746	EH38E2778623	226
-1.2764463	7.0795016	dELS	chr1	2255832	2256158	EH38E2778624	326
-1.0844806	6.8055844	dELS	chr1	2256160	2256314	EH38E2778625	154
-1.7120062	7.7998266	dELS	chr1	2290651	2290998	EH38E2778680	347
7.3699965	1.2945246	PLS	chr1	2314803	2315077	EH38E2778729	274
4.97652	-1.3711185	PLS	chr1	2391520	2391869	EH38E2778854	349
4.962086	-1.3649179	PLS	chr1	2391520	2391869	EH38E2778854	349
2.3700993	2.218514	PLS	chr1	2391934	2392163	EH38E2778855	229
6.1524305	-0.66024184	PLS	chr1	2412480	2412830	EH38E2778889	350
8.630073	0.6684188	PLS	chr1	2526466	2526709	EH38E2779065	243
6.91784	4.1682754	dELS	chr1	2540848	2541194	EH38E2779094	346
4.9777646	2.0062895	dELS	chr1	2541624	2541875	EH38E2779095	251
4.3919935	3.2045016	dELS	chr1	2542044	2542207	EH38E2779096	163
3.691848	4.735829	dELS	chr1	2542447	2542783	EH38E2779097	336
6.979812	4.453343	dELS	chr1	2543573	2543742	EH38E2779099	169
7.0197067	4.6056623	dELS	chr1	2543760	2544106	EH38E1312060	346
6.7517657	4.580793	dELS	chr1	2544268	2544595	EH38E1312061	327
6.8951416	4.9148393	dELS	chr1	2544636	2544866	EH38E2779100	230
7.1422276	5.2737846	dELS	chr1	2544906	2545150	EH38E2779101	244
6.6225495	4.5092225	dELS	chr1	2545633	2545834	EH38E2779103	201
3.6714456	-0.089350045	dELS	chr1	2546091	2546441	EH38E2779104	350
2.257145	2.3919606	dELS	chr1	2546584	2546811	EH38E2779105	227
2.0354085	4.195326	dELS	chr1	2546887	2547234	EH38E2779106	347
3.373215	5.6715326	dELS	chr1	2547270	2547449	EH38E3951917	179
3.6743636	5.6000595	dELS	chr1	2547453	2547605	EH38E2779108	152
4.397119	5.7746253	dELS	chr1	2547691	2547994	EH38E3951918	303
4.302678	5.6953797	dELS	chr1	2547999	2548347	EH38E3951919	348
3.9299428	5.1438465	dELS	chr1	2548384	2548585	EH38E2779111	201
3.9693987	4.347408	dELS	chr1	2548695	2549045	EH38E2779112	350
7.3202386	3.1368592	PLS	chr1	2556380	2556728	EH38E2779127	348
6.198047	0.8805576	PLS	chr1	2556821	2557171	EH38E1312085	350
8.669447	4.6980433	PLS	chr1	2585515	2585728	EH38E2779172	213
4.9375544	-0.748148	PLS	chr1	2586397	2586745	EH38E2779175	348
1.900926	2.1863513	PLS	chr1	2586910	2587086	EH38E2779176	176
7.8828373	3.5744917	dELS	chr1	2642507	2642820	EH38E2779259	313
7.659691	2.439139	dELS	chr1	2642877	2643046	EH38E3951962	169
7.715243	1.1800954	dELS	chr1	2643072	2643421	EH38E2779261	349
4.167409	1.4369496	PLS	chr1	3454345	3454660	EH38E2780140	315
3.664796	1.5679933	PLS	chr1	3454664	3454847	EH38E3952264	183
11.747679	8.042857	PLS	chr1	3531305	3531653	EH38E2780292	348
4.9824457	-1.3592763	PLS	chr1	3624719	3625068	EH38E2780437	349
4.917433	-1.3878102	PLS	chr1	3624719	3625068	EH38E2780437	349
8.585449	0.64403385	PLS	chr1	3649994	3650342	EH38E2780474	348
2.8812459	-0.23629822	PLS	chr1	3652156	3652480	EH38E3952308	324
1.6955802	2.1063962	PLS	chr1	3652549	3652748	EH38E2780480	199
9.9902525	4.3288603	PLS	chr1	3746454	3746784	EH38E2780638	330
8.4441	0.25710207	PLS	chr1	3747257	3747607	EH38E2780640	350
4.2237077	-0.9401759	PLS	chr1	3772420	3772770	EH38E2780654	350
2.2617288	2.1539469	PLS	chr1	3772814	3773019	EH38E2780655	205
0.95176715	6.109301	dELS	chr1	3774828	3775178	EH38E2780660	350
2.211924	6.449347	dELS	chr1	3775266	3775438	EH38E2780661	172
2.4957664	6.4981065	dELS	chr1	3775499	3775799	EH38E2780662	300
3.20424	6.4762335	dELS	chr1	3775947	3776296	EH38E2780663	349
3.4234443	6.3834157	dELS	chr1	3776330	3776494	EH38E2780664	164
3.4986548	6.350825	dELS	chr1	3776543	3776883	EH38E2780665	340
3.9455397	6.2608366	dELS	chr1	3777141	3777490	EH38E2780666	349
9.836979	5.9332895	dELS	chr1	3793564	3793905	EH38E1313036	341
6.6875687	-0.95858216	PLS	chr1	3796375	3796720	EH38E2780696	345
6.82533	4.2320666	dELS	chr1	3803927	3804121	EH38E2780705	194
6.65122	4.216395	dELS	chr1	3804126	3804476	EH38E2780706	350
6.095143	4.4242835	dELS	chr1	3804583	3804870	EH38E2780707	287
5.1636443	4.736392	dELS	chr1	3805081	3805418	EH38E2780708	337
4.3939695	4.496865	dELS	chr1	3805726	3805900	EH38E1313051	174
12.277755	7.4871526	dELS	chr1	3822521	3822800	EH38E2780731	279
4.9332914	-1.3270414	PLS	chr1	3857169	3857516	EH38E2780749	347
4.95589	-1.2684076	PLS	chr1	3857169	3857516	EH38E2780749	347
6.3604555	-0.5911451	PLS	chr1	3900085	3900426	EH38E1313124	341
6.4350786	-0.60093206	PLS	chr1	3900085	3900426	EH38E1313124	341
2.4158707	0.92620444	PLS	chr1	3975890	3976236	EH38E2780852	346
12.118085	7.959698	dELS	chr1	5885820	5886155	EH38E1313909	335
12.262856	7.5979223	dELS	chr1	5892954	5893134	EH38E2781622	180
11.742438	7.2375402	dELS	chr1	5893192	5893525	EH38E2781623	333
9.446328	5.014109	dELS	chr1	5917227	5917570	EH38E1313940	343
7.949106	4.6568456	dELS	chr1	5917665	5918015	EH38E2781647	350
8.362121	3.1541114	PLS	chr1	5992167	5992333	EH38E2781721	166
4.997513	0.14553167	PLS	chr1	5992397	5992745	EH38E2781722	348
5.0281377	0.1282419	PLS	chr1	5992397	5992745	EH38E2781722	348
1.710282	2.9473703	dELS	chr1	6006935	6007274	EH38E2781756	339
1.1387441	5.5456195	dELS	chr1	6007406	6007748	EH38E1314027	342
12.349621	6.263509	PLS	chr1	6197849	6198053	EH38E3953141	204
9.220877	4.7813087	PLS	chr1	6199504	6199854	EH38E1314191	350
8.3956995	6.6328573	PLS	chr1	6200574	6200742	EH38E1314194	168
7.4725647	5.2256427	PLS	chr1	6205634	6205818	EH38E3953143	184
6.6379933	5.5654955	PLS	chr1	6205971	6206172	EH38E2781997	201
6.528601	5.679438	PLS	chr1	6206174	6206416	EH38E2781998	242
5.05051	5.3299665	dELS	chr1	6208672	6209019	EH38E1314204	347
2.6656678	4.1474166	dELS	chr1	6209178	6209526	EH38E1314205	348
1.3029547	4.7555723	dELS	chr1	6209701	6209988	EH38E2782003	287
11.223025	5.436196	PLS	chr1	6234497	6234839	EH38E1314222	342
7.9259815	-0.31157416	PLS	chr1	6235845	6236195	EH38E2782025	350
8.618995	4.7675877	PLS	chr1	6260916	6261252	EH38E2782060	336
5.4886518	-0.6488921	PLS	chr1	6393293	6393642	EH38E2782208	349
5.5159435	-0.62865406	PLS	chr1	6393293	6393642	EH38E2782208	349
2.912767	2.1086998	PLS	chr1	6393653	6393957	EH38E2782209	304
6.5163693	4.0758505	PLS	chr1	6419777	6420122	EH38E2782241	345
6.7268405	2.730112	PLS	chr1	6424414	6424571	EH38E1314433	157
5.412911	1.3758751	PLS	chr1	6424580	6424929	EH38E2782252	349
5.4207335	1.3867866	PLS	chr1	6424580	6424929	EH38E2782252	349
3.7482617	2.453642	PLS	chr1	6490469	6490813	EH38E2782359	344
9.507394	5.4255652	PLS	chr1	6554397	6554747	EH38E2782418	350
3.2121203	-0.1393743	PLS	chr1	6579741	6580091	EH38E2782436	350
1.8358017	6.5866513	dELS	chr1	6581883	6582233	EH38E2782439	350
3.63737	6.58695	dELS	chr1	6584720	6585067	EH38E2782441	347
3.663784	6.5615554	dELS	chr1	6585196	6585542	EH38E2782442	346
10.359311	5.496398	dELS	chr1	6600583	6600793	EH38E1314628	210
8.366657	4.490013	PLS	chr1	6602793	6603141	EH38E2782480	348
8.575414	5.9102697	dELS	chr1	6609808	6610083	EH38E2782490	275
5.67144	-0.7038409	PLS	chr1	6613422	6613759	EH38E1314649	337
0.81548244	4.980021	PLS	chr1	6614442	6614670	EH38E2782498	228
0.92107934	5.0270433	PLS	chr1	6614692	6614914	EH38E2782499	222
-1.368045	5.7808084	PLS	chr1	6624641	6624991	EH38E2782510	350
-1.2625979	5.5173965	PLS	chr1	6625003	6625352	EH38E2782511	349
12.231893	6.3144717	dELS	chr1	6666714	6667061	EH38E2782548	347
7.617989	-0.16034444	PLS	chr1	6701735	6702085	EH38E2782565	350
8.92545	1.7551837	PLS	chr1	6784597	6784818	EH38E3953313	221
-1.4039576	7.8898187	dELS	chr1	6911321	6911491	EH38E2782678	170
-1.6694928	7.735669	dELS	chr1	6912532	6912864	EH38E2782679	332
3.3142588	-0.55873215	PLS	chr1	7771095	7771444	EH38E2783245	349
4.6294146	0.630182	PLS	chr1	7827213	7827539	EH38E2783264	326
7.913797	2.5867317	dELS	chr1	7953918	7954151	EH38E2783321	233
5.668961	-0.5931501	dELS	chr1	7954162	7954509	EH38E2783322	347
2.782922	3.549549	dELS	chr1	7954771	7954978	EH38E2783323	207
4.6145716	-0.8167029	PLS	chr1	7961396	7961746	EH38E2783331	350
2.2323825	2.5258403	PLS	chr1	7961799	7962012	EH38E2783332	213
1.4902074	3.2697067	PLS	chr1	7962029	7962285	EH38E2783333	256
3.3732235	6.422388	dELS	chr1	8004795	8004996	EH38E2783370	201
3.2921722	6.206439	dELS	chr1	8004997	8005331	EH38E2783371	334
3.3774164	6.3714514	dELS	chr1	8005399	8005559	EH38E3953696	160
8.386102	0.70818764	PLS	chr1	8026242	8026592	EH38E2783404	350
7.41933	0.83731496	PLS	chr1	8026634	8026787	EH38E2783405	153
7.6060057	4.7888546	dELS	chr1	8121321	8121668	EH38E1315772	347
6.738569	3.0187767	dELS	chr1	8122130	8122478	EH38E2783475	348
5.48623	2.4081244	dELS	chr1	8122480	8122670	EH38E2783476	190
4.709651	2.8950014	dELS	chr1	8122673	8123021	EH38E2783477	348
6.815609	3.1498632	dELS	chr1	8197524	8197675	EH38E3953766	151
6.6071463	2.0508537	dELS	chr1	8197730	8198080	EH38E1315848	350
6.8156796	1.4490888	dELS	chr1	8198165	8198343	EH38E3953767	178
7.294066	1.6379553	dELS	chr1	8211927	8212277	EH38E2783554	350
12.475949	7.366987	dELS	chr1	8409135	8409460	EH38E1316066	325
9.487854	5.309285	PLS	chr1	8423628	8423975	EH38E2783780	347
12.444949	7.0151014	dELS	chr1	8520479	8520809	EH38E1316201	330
12.420706	6.964358	dELS	chr1	8520840	8520990	EH38E3953817	150
9.54712	6.574574	PLS	chr1	8525849	8526198	EH38E2783849	349
12.517504	7.1380296	dELS	chr1	8541322	8541481	EH38E2783864	159
12.151204	7.167912	dELS	chr1	8542025	8542207	EH38E2783865	182
11.98491	7.245147	dELS	chr1	8542208	8542445	EH38E2783866	237
11.364542	5.710838	dELS	chr1	8701313	8701663	EH38E1316407	350
10.234636	5.609323	dELS	chr1	8788918	8789089	EH38E2784006	171
9.8607	5.5978107	dELS	chr1	8789137	8789307	EH38E3953850	170
9.2647505	5.677679	dELS	chr1	8789322	8789655	EH38E2784007	333
8.896134	6.0162196	dELS	chr1	8789670	8789923	EH38E2784008	253
8.691288	6.3988376	dELS	chr1	8789989	8790183	EH38E2784009	194
8.350385	6.7376914	dELS	chr1	8790537	8790830	EH38E1316486	293
8.869204	6.8394446	dELS	chr1	8791078	8791333	EH38E2784010	255
9.356701	6.9629498	dELS	chr1	8792449	8792685	EH38E2784011	236
9.432486	6.995782	dELS	chr1	8792696	8792859	EH38E2784012	163
9.288694	3.1856992	PLS	chr1	8817109	8817383	EH38E2784025	274
7.5766964	-0.25936568	PLS	chr1	8817557	8817906	EH38E2784026	349
12.575657	6.4597406	dELS	chr1	8871649	8871850	EH38E1316564	201
10.789878	6.072024	dELS	chr1	8873550	8873895	EH38E2784075	345
10.84778	6.4268146	dELS	chr1	8873998	8874289	EH38E1316568	291
11.784023	5.7306685	dELS	chr1	8875354	8875533	EH38E2784077	179
11.917265	5.7215967	dELS	chr1	8875567	8875837	EH38E2784078	270
10.151233	5.39454	dELS	chr1	8876588	8876770	EH38E2784080	182
6.6204486	-0.07933665	PLS	chr1	8878608	8878956	EH38E1316578	348
6.6568494	-0.082245104	PLS	chr1	8878608	8878956	EH38E1316578	348
6.223023	1.5782244	dELS	chr1	8899925	8900266	EH38E2784111	341
7.395061	2.4596703	PLS	chr1	9128878	9129037	EH38E3953951	159
7.2504544	1.5062768	PLS	chr1	9129058	9129408	EH38E2784312	350
3.3776865	0.50083303	PLS	chr1	9234540	9234874	EH38E2784395	334
3.4869761	1.3130809	PLS	chr1	9292656	9293004	EH38E2784477	348
3.1234436	3.9175227	dELS	chr1	9300192	9300542	EH38E2784490	350
5.2006993	1.4360838	PLS	chr1	9428807	9429157	EH38E1317123	350
3.10847	-0.12506063	PLS	chr1	9539183	9539532	EH38E2784729	349
0.42008552	4.9305596	PLS	chr1	9588930	9589086	EH38E2784775	156
2.546496	1.2874508	PLS	chr1	9651625	9651965	EH38E2784859	340
1.345942	5.752385	dELS	chr1	9657321	9657670	EH38E2784870	349
0.8596316	5.457394	dELS	chr1	9657698	9658042	EH38E2784871	344
6.598484	0.23011619	PLS	chr1	9687360	9687706	EH38E2784896	346
2.8935611	6.545876	dELS	chr1	9712875	9713039	EH38E2784919	164
4.645011	5.6437397	dELS	chr1	9716944	9717243	EH38E2784926	299
3.3065157	5.572569	dELS	chr1	9717335	9717590	EH38E2784927	255
2.4846244	4.5541825	dELS	chr1	9717658	9718008	EH38E3954077	350
2.4349496	4.316489	dELS	chr1	9718014	9718171	EH38E3954078	157
1.5805889	6.09888	dELS	chr1	9718710	9719052	EH38E2784931	342
1.2105725	5.476891	dELS	chr1	9719113	9719462	EH38E2784932	349
11.89363	6.6281095	dELS	chr1	9774753	9775077	EH38E2784991	324
7.808173	0.7282124	PLS	chr1	9823920	9824270	EH38E2785044	350
5.43044	-0.25983804	PLS	chr1	9910327	9910675	EH38E2785154	348
3.4392848	5.691151	dELS	chr1	9912326	9912559	EH38E1317608	233
3.6845288	5.6482177	dELS	chr1	9912698	9912900	EH38E2785158	202
10.762656	6.618799	dELS	chr1	9929005	9929178	EH38E2785164	173
10.402871	6.7538643	dELS	chr1	9929444	9929792	EH38E2785165	348
9.931379	6.8096867	dELS	chr1	9930003	9930321	EH38E2785166	318
8.745244	3.1267128	PLS	chr1	9942725	9942983	EH38E2785169	258
8.721322	3.1149726	PLS	chr1	9942725	9942983	EH38E2785169	258
8.292514	2.307519	PLS	chr1	9942985	9943155	EH38E2785170	170
5.6923065	-1.2580214	PLS	chr1	9943188	9943529	EH38E1317631	341
5.7260127	-1.2512828	PLS	chr1	9943188	9943529	EH38E1317631	341
-1.1969954	5.312188	dELS	chr1	9950354	9950702	EH38E2785178	348
3.15683	-0.05979083	PLS	chr1	10032657	10033007	EH38E2785217	350
1.6673658	2.7813964	PLS	chr1	10033214	10033460	EH38E2785218	246
-1.9957153	6.9424467	dELS	chr1	10045613	10045768	EH38E3954155	155
-1.7013893	7.052287	dELS	chr1	10045936	10046269	EH38E1317690	333
-1.6455493	6.8280997	dELS	chr1	10065304	10065651	EH38E2785245	347
-2.172977	7.127083	dELS	chr1	10067064	10067402	EH38E2785247	338
3.1440594	0.12532407	PLS	chr1	10210271	10210621	EH38E1317823	350
1.4280399	2.7214067	PLS	chr1	10210812	10211138	EH38E2785323	326
-0.13620326	4.8383493	PLS	chr1	10211400	10211748	EH38E2785325	348
-0.0024895945	6.491528	dELS	chr1	10378461	10378799	EH38E2785390	338
4.447938	-0.6459187	PLS	chr1	10398746	10399096	EH38E1317949	350
-0.5585646	6.8044176	dELS	chr1	10415191	10415392	EH38E2785412	201
-0.704688	6.7342544	dELS	chr1	10415393	10415641	EH38E2785413	248
7.595814	3.1725485	PLS	chr1	10429827	10430177	EH38E1317977	350
4.0099688	-0.14761463	PLS	chr1	10430244	10430532	EH38E2785431	288
4.0479226	-0.128201	PLS	chr1	10430244	10430532	EH38E2785431	288
2.3947778	1.7441655	PLS	chr1	10430574	10430856	EH38E2785432	282
2.3775942	1.7758504	PLS	chr1	10430574	10430856	EH38E2785432	282
1.4866724	3.5637617	PLS	chr1	10430991	10431324	EH38E1317980	333
1.469106	3.6079438	PLS	chr1	10430991	10431324	EH38E1317980	333
8.930852	3.04224	PLS	chr1	10472253	10472409	EH38E2785452	156
8.606438	4.0068007	PLS	chr1	10472477	10472827	EH38E1318009	350
4.183327	-0.05686289	PLS	chr1	10474737	10475087	EH38E3954222	350
-1.2024434	6.913407	dELS	chr1	10510904	10511253	EH38E1318043	349
-1.3910074	6.771756	dELS	chr1	10511274	10511428	EH38E1318044	154
-1.4837487	6.565648	dELS	chr1	10511641	10511914	EH38E2785480	273
-0.35272545	6.7705464	dELS	chr1	10556400	10556610	EH38E1318100	210
3.4854705	-0.28123832	PLS	chr1	11012332	11012491	EH38E3954337	159
3.0829196	0.36074215	PLS	chr1	11012493	11012761	EH38E2786048	268
5.5870333	-0.5183891	PLS	chr1	11059955	11060305	EH38E2786082	350
9.070804	3.0830245	PLS	chr1	11099314	11099620	EH38E2786100	306
7.7200894	0.20995535	PLS	chr1	11099703	11100052	EH38E2786101	349
6.866618	-0.9437399	PLS	chr1	11262542	11262888	EH38E2786176	346
2.7866976	0.2659793	PLS	chr1	11272885	11273234	EH38E2786181	349
1.7403644	2.0230196	PLS	chr1	11273367	11273545	EH38E1318745	178
1.4345076	3.012495	PLS	chr1	11273594	11273768	EH38E2786182	174
3.9479525	1.8755081	PLS	chr1	11478986	11479334	EH38E2786307	348
6.9393663	3.5405784	PLS	chr1	11654062	11654299	EH38E3954546	237
3.9262922	0.6348421	PLS	chr1	11654370	11654571	EH38E2786413	201
3.9082234	0.63586754	PLS	chr1	11654370	11654571	EH38E2786413	201
2.60146	0.18080924	PLS	chr1	11654641	11654989	EH38E2786414	348
4.5152516	5.6514063	PLS	chr1	11664032	11664380	EH38E2786425	348
