chrom	start	end	rDHS	cCRE_type
chr1	1614090	1614246	EH38E3951638	pELS
chr1	1614249	1614597	EH38E2777742	pELS
chr1	1614646	1614815	EH38E2777743	pELS
chr1	1614838	1615041	EH38E2777744	pELS
chr1	1615191	1615541	EH38E2777745	PLS
chr1	1615639	1615956	EH38E2777746	PLS
chr1	1616075	1616404	EH38E2777747	PLS
chr1	1616463	1616639	EH38E2777748	pELS
chr1	1658958	1659308	EH38E2777804	PLS
chr1	1686233	1686538	EH38E2777846	dELS
chr1	1692436	1692610	EH38E2777852	pELS
chr1	1692612	1692926	EH38E2777853	PLS
chr1	1692990	1693281	EH38E2777854	pELS
chr1	1715058	1715404	EH38E1311125	dELS
chr1	1724269	1724619	EH38E2777867	PLS
chr1	1745711	1745959	EH38E2777880	PLS
chr1	1745964	1746197	EH38E2777881	PLS
chr1	1746266	1746547	EH38E2777882	pELS
chr1	1758767	1759115	EH38E2777903	dELS
chr1	1759153	1759320	EH38E2777904	dELS
chr1	1775971	1776127	EH38E2777927	dELS
chr1	1777036	1777301	EH38E2777929	pELS
chr1	1777547	1777889	EH38E2777930	pELS
chr1	1777966	1778163	EH38E2777931	pELS
chr1	1778297	1778638	EH38E2777932	PLS
chr1	1778801	1779150	EH38E1311174	PLS
chr1	1779230	1779574	EH38E1311175	pELS
chr1	1779626	1779830	EH38E2777933	pELS
chr1	1779908	1780189	EH38E2777934	pELS
chr1	1780249	1780599	EH38E1311178	pELS
chr1	1781215	1781503	EH38E2777936	pELS
chr1	1781624	1781870	EH38E1311181	pELS
chr1	1782067	1782369	EH38E2777937	dELS
chr1	1782490	1782835	EH38E2777938	dELS
chr1	1782904	1783250	EH38E2777939	dELS
chr1	1889337	1889680	EH38E2778024	pELS
chr1	1889874	1890142	EH38E2778025	pELS
chr1	1890163	1890513	EH38E2778026	pELS
chr1	1890599	1890926	EH38E2778027	pELS
chr1	1890996	1891331	EH38E1311282	PLS
chr1	1891350	1891614	EH38E2778028	pELS
chr1	1891625	1891844	EH38E2778029	pELS
chr1	1891955	1892109	EH38E2778030	pELS
chr1	1908544	1908747	EH38E2778055	dELS
chr1	1908779	1909031	EH38E3951733	dELS
chr1	1909055	1909402	EH38E2778057	dELS
chr1	1909439	1909698	EH38E2778058	dELS
chr1	1909719	1909941	EH38E2778059	dELS
chr1	1918501	1918847	EH38E2778078	PLS
chr1	2003662	2004009	EH38E3951768	PLS
chr1	2050131	2050479	EH38E2778248	PLS
chr1	2175806	2176048	EH38E2778463	dELS
chr1	2176063	2176325	EH38E2778464	dELS
chr1	2176393	2176551	EH38E2778465	dELS
chr1	2176657	2176815	EH38E3951807	dELS
chr1	2179468	2179817	EH38E2778471	dELS
chr1	2180360	2180705	EH38E2778473	dELS
chr1	2189468	2189818	EH38E1311579	dELS
chr1	2189933	2190139	EH38E2778486	dELS
chr1	2190156	2190413	EH38E2778487	dELS
chr1	2190455	2190657	EH38E2778488	dELS
chr1	2190676	2190963	EH38E2778489	dELS
chr1	2193282	2193544	EH38E2778495	pELS
chr1	2193602	2193888	EH38E2778496	pELS
chr1	2194054	2194274	EH38E2778497	pELS
chr1	2194300	2194467	EH38E2778498	pELS
chr1	2194584	2194880	EH38E3951812	PLS
chr1	2194881	2195185	EH38E3951813	pELS
chr1	2195241	2195442	EH38E2778501	pELS
chr1	2197853	2198142	EH38E2778506	dELS
chr1	2199176	2199526	EH38E2778509	dELS
chr1	2199599	2199771	EH38E1311600	dELS
chr1	2204424	2204677	EH38E2778517	dELS
chr1	2204807	2205041	EH38E2778518	dELS
chr1	2205052	2205328	EH38E2778519	dELS
chr1	2205343	2205630	EH38E2778520	dELS
chr1	2205728	2205910	EH38E2778521	dELS
chr1	2212504	2212854	EH38E2778538	pELS
chr1	2212859	2213028	EH38E2778539	pELS
chr1	2213136	2213311	EH38E2778540	pELS
chr1	2227195	2227440	EH38E2778560	pELS
chr1	2227457	2227616	EH38E2778561	pELS
chr1	2227640	2227985	EH38E2778562	pELS
chr1	2227986	2228158	EH38E3951817	pELS
chr1	2228190	2228360	EH38E2778563	PLS
chr1	2228748	2229096	EH38E2778565	pELS
chr1	2229225	2229573	EH38E2778566	pELS
chr1	2229585	2229736	EH38E2778567	pELS
chr1	2229935	2230262	EH38E3951818	pELS
chr1	2230324	2230654	EH38E2778569	dELS
chr1	2230709	2231027	EH38E3951819	dELS
chr1	2231048	2231396	EH38E3951820	dELS
chr1	2231399	2231569	EH38E3951821	dELS
chr1	2231736	2231898	EH38E2778573	dELS
chr1	2231904	2232251	EH38E3951822	dELS
chr1	2232320	2232527	EH38E3951823	dELS
chr1	2232656	2232995	EH38E2778577	dELS
chr1	2232999	2233267	EH38E2778578	dELS
chr1	2255335	2255512	EH38E2778622	dELS
chr1	2255520	2255746	EH38E2778623	dELS
chr1	2255832	2256158	EH38E2778624	dELS
chr1	2256160	2256314	EH38E2778625	dELS
chr1	2290651	2290998	EH38E2778680	dELS
chr1	2314803	2315077	EH38E2778729	PLS
chr1	2390324	2390672	EH38E2778851	pELS
chr1	2391031	2391362	EH38E2778853	pELS
chr1	2391520	2391869	EH38E2778854	PLS
chr1	2391934	2392163	EH38E2778855	PLS
chr1	2392187	2392436	EH38E3951870	pELS
chr1	2392688	2392934	EH38E2778857	pELS
chr1	2411707	2411934	EH38E2778887	pELS
chr1	2411989	2412175	EH38E2778888	pELS
chr1	2412238	2412397	EH38E3951876	pELS
chr1	2412480	2412830	EH38E2778889	PLS
chr1	2412943	2413094	EH38E3951877	pELS
chr1	2413192	2413537	EH38E2778891	pELS
chr1	2413767	2414109	EH38E3951878	pELS
chr1	2414253	2414404	EH38E3951879	pELS
chr1	2525586	2525882	EH38E3951914	pELS
chr1	2525925	2526135	EH38E2779063	pELS
chr1	2526147	2526459	EH38E2779064	pELS
chr1	2526466	2526709	EH38E2779065	PLS
chr1	2526808	2527155	EH38E2779066	pELS
chr1	2540848	2541194	EH38E2779094	dELS
chr1	2541624	2541875	EH38E2779095	dELS
chr1	2542044	2542207	EH38E2779096	dELS
chr1	2542447	2542783	EH38E2779097	dELS
chr1	2543573	2543742	EH38E2779099	dELS
chr1	2543760	2544106	EH38E1312060	dELS
chr1	2544268	2544595	EH38E1312061	dELS
chr1	2544636	2544866	EH38E2779100	dELS
chr1	2544906	2545150	EH38E2779101	dELS
chr1	2545633	2545834	EH38E2779103	dELS
chr1	2546091	2546441	EH38E2779104	dELS
chr1	2546584	2546811	EH38E2779105	dELS
chr1	2546887	2547234	EH38E2779106	dELS
chr1	2547270	2547449	EH38E3951917	dELS
chr1	2547453	2547605	EH38E2779108	dELS
chr1	2547691	2547994	EH38E3951918	dELS
chr1	2547999	2548347	EH38E3951919	dELS
chr1	2548384	2548585	EH38E2779111	dELS
chr1	2548695	2549045	EH38E2779112	dELS
chr1	2556380	2556728	EH38E2779127	PLS
chr1	2556821	2557171	EH38E1312085	PLS
chr1	2585515	2585728	EH38E2779172	PLS
chr1	2585730	2586055	EH38E2779173	pELS
chr1	2586085	2586244	EH38E2779174	pELS
chr1	2586397	2586745	EH38E2779175	PLS
chr1	2586910	2587086	EH38E2779176	PLS
chr1	2642507	2642820	EH38E2779259	dELS
chr1	2642877	2643046	EH38E3951962	dELS
chr1	2643072	2643421	EH38E2779261	dELS
chr1	3454345	3454660	EH38E2780140	PLS
chr1	3454664	3454847	EH38E3952264	PLS
chr1	3531305	3531653	EH38E2780292	PLS
chr1	3624719	3625068	EH38E2780437	PLS
chr1	3625176	3625522	EH38E2780438	pELS
chr1	3625647	3625895	EH38E2780439	pELS
chr1	3649994	3650342	EH38E2780474	PLS
chr1	3652156	3652480	EH38E3952308	PLS
chr1	3652549	3652748	EH38E2780480	PLS
chr1	3746253	3746422	EH38E1312996	pELS
chr1	3746454	3746784	EH38E2780638	PLS
chr1	3746884	3747080	EH38E2780639	pELS
chr1	3747257	3747607	EH38E2780640	PLS
chr1	3771216	3771439	EH38E2780652	pELS
chr1	3771607	3771781	EH38E1313007	pELS
chr1	3772016	3772324	EH38E3952349	pELS
chr1	3772420	3772770	EH38E2780654	PLS
chr1	3772814	3773019	EH38E2780655	PLS
chr1	3773043	3773247	EH38E2780656	pELS
chr1	3773372	3773564	EH38E1313011	pELS
chr1	3773775	3773989	EH38E2780657	pELS
chr1	3774003	3774226	EH38E2780658	pELS
chr1	3774376	3774681	EH38E2780659	pELS
chr1	3774828	3775178	EH38E2780660	dELS
chr1	3775266	3775438	EH38E2780661	dELS
chr1	3775499	3775799	EH38E2780662	dELS
chr1	3775947	3776296	EH38E2780663	dELS
chr1	3776330	3776494	EH38E2780664	dELS
chr1	3776543	3776883	EH38E2780665	dELS
chr1	3777141	3777490	EH38E2780666	dELS
chr1	3793564	3793905	EH38E1313036	dELS
chr1	3795457	3795757	EH38E1313038	pELS
chr1	3795934	3796197	EH38E2780695	pELS
chr1	3796375	3796720	EH38E2780696	PLS
chr1	3796741	3796919	EH38E1313042	pELS
chr1	3797046	3797260	EH38E2780697	pELS
chr1	3797351	3797552	EH38E3952360	pELS
chr1	3803927	3804121	EH38E2780705	dELS
chr1	3804126	3804476	EH38E2780706	dELS
chr1	3804583	3804870	EH38E2780707	dELS
chr1	3805081	3805418	EH38E2780708	dELS
chr1	3805726	3805900	EH38E1313051	dELS
chr1	3822521	3822800	EH38E2780731	dELS
chr1	3856602	3856811	EH38E2780747	pELS
chr1	3856868	3857069	EH38E2780748	pELS
chr1	3857169	3857516	EH38E2780749	PLS
chr1	3857628	3857787	EH38E2780750	pELS
chr1	3899347	3899581	EH38E2780785	pELS
chr1	3899640	3899931	EH38E1313123	pELS
chr1	3900085	3900426	EH38E1313124	PLS
chr1	3900557	3900907	EH38E2780786	pELS
chr1	3900942	3901159	EH38E2780787	pELS
chr1	3901230	3901580	EH38E2780788	pELS
chr1	3975890	3976236	EH38E2780852	PLS
chr1	3977244	3977398	EH38E2780854	pELS
chr1	5885820	5886155	EH38E1313909	dELS
chr1	5892954	5893134	EH38E2781622	dELS
chr1	5893192	5893525	EH38E2781623	dELS
chr1	5917227	5917570	EH38E1313940	dELS
chr1	5917665	5918015	EH38E2781647	dELS
chr1	5991349	5991531	EH38E2781718	pELS
chr1	5991545	5991773	EH38E2781719	pELS
chr1	5991807	5992113	EH38E2781720	pELS
chr1	5992167	5992333	EH38E2781721	PLS
chr1	5992397	5992745	EH38E2781722	PLS
chr1	5992929	5993166	EH38E2781723	pELS
chr1	5993205	5993478	EH38E2781724	pELS
chr1	5993489	5993695	EH38E3953038	pELS
chr1	5993719	5993955	EH38E2781726	pELS
chr1	5993972	5994136	EH38E3953039	pELS
chr1	5994152	5994448	EH38E3953040	pELS
chr1	6006935	6007274	EH38E2781756	dELS
chr1	6007406	6007748	EH38E1314027	dELS
chr1	6197849	6198053	EH38E3953141	PLS
chr1	6198371	6198595	EH38E2781991	pELS
chr1	6199082	6199278	EH38E2781993	pELS
chr1	6199504	6199854	EH38E1314191	PLS
chr1	6199962	6200124	EH38E2781994	pELS
chr1	6200200	6200453	EH38E2781995	pELS
chr1	6200574	6200742	EH38E1314194	PLS
chr1	6204237	6204414	EH38E1314195	pELS
chr1	6204707	6204908	EH38E1314196	pELS
chr1	6205053	6205388	EH38E1314197	pELS
chr1	6205634	6205818	EH38E3953143	PLS
chr1	6205971	6206172	EH38E2781997	PLS
chr1	6206174	6206416	EH38E2781998	PLS
chr1	6207945	6208280	EH38E2782002	pELS
chr1	6208672	6209019	EH38E1314204	dELS
chr1	6209178	6209526	EH38E1314205	dELS
chr1	6209701	6209988	EH38E2782003	dELS
chr1	6234497	6234839	EH38E1314222	PLS
chr1	6234852	6235173	EH38E2782023	pELS
chr1	6235380	6235690	EH38E2782024	pELS
chr1	6235845	6236195	EH38E2782025	PLS
chr1	6236537	6236759	EH38E2782026	pELS
chr1	6260916	6261252	EH38E2782060	PLS
chr1	6392966	6393280	EH38E2782207	pELS
chr1	6393293	6393642	EH38E2782208	PLS
chr1	6393653	6393957	EH38E2782209	PLS
chr1	6393983	6394187	EH38E2782210	pELS
chr1	6394390	6394554	EH38E2782211	pELS
chr1	6419777	6420122	EH38E2782241	PLS
chr1	6424414	6424571	EH38E1314433	PLS
chr1	6424580	6424929	EH38E2782252	PLS
chr1	6490469	6490813	EH38E2782359	PLS
chr1	6553075	6553421	EH38E3953243	pELS
chr1	6554060	6554313	EH38E3953245	pELS
chr1	6554397	6554747	EH38E2782418	PLS
chr1	6554776	6554934	EH38E1314582	pELS
chr1	6579018	6579287	EH38E2782434	pELS
chr1	6579508	6579696	EH38E2782435	pELS
chr1	6579741	6580091	EH38E2782436	PLS
chr1	6580210	6580362	EH38E2782437	pELS
chr1	6580453	6580652	EH38E1314596	pELS
chr1	6580682	6580841	EH38E2782438	pELS
chr1	6580888	6581236	EH38E1314598	pELS
chr1	6581883	6582233	EH38E2782439	dELS
chr1	6584720	6585067	EH38E2782441	dELS
chr1	6585196	6585542	EH38E2782442	dELS
chr1	6600583	6600793	EH38E1314628	dELS
chr1	6600860	6601032	EH38E2782474	pELS
chr1	6601036	6601386	EH38E2782475	pELS
chr1	6601421	6601577	EH38E2782476	pELS
chr1	6601633	6601837	EH38E3953265	pELS
chr1	6601950	6602167	EH38E2782478	pELS
chr1	6602278	6602554	EH38E2782479	pELS
chr1	6602562	6602763	EH38E1314634	pELS
chr1	6602793	6603141	EH38E2782480	PLS
chr1	6603235	6603582	EH38E2782481	pELS
chr1	6603583	6603763	EH38E2782482	pELS
chr1	6603918	6604261	EH38E2782483	pELS
chr1	6604279	6604510	EH38E2782484	pELS
chr1	6609808	6610083	EH38E2782490	dELS
chr1	6612555	6612901	EH38E2782493	pELS
chr1	6612913	6613099	EH38E2782494	pELS
chr1	6613108	6613287	EH38E2782495	pELS
chr1	6613422	6613759	EH38E1314649	PLS
chr1	6613902	6614209	EH38E2782496	pELS
chr1	6614236	6614386	EH38E2782497	pELS
chr1	6614442	6614670	EH38E2782498	PLS
chr1	6614692	6614914	EH38E2782499	PLS
chr1	6615144	6615475	EH38E2782500	pELS
chr1	6615514	6615697	EH38E2782501	pELS
chr1	6615724	6615926	EH38E2782502	pELS
chr1	6624641	6624991	EH38E2782510	PLS
chr1	6625003	6625352	EH38E2782511	PLS
chr1	6625418	6625607	EH38E2782512	pELS
chr1	6625744	6626086	EH38E2782513	pELS
chr1	6666714	6667061	EH38E2782548	dELS
chr1	6700796	6701108	EH38E1314729	pELS
chr1	6701140	6701341	EH38E1314730	pELS
chr1	6701368	6701621	EH38E1314731	pELS
chr1	6701735	6702085	EH38E2782565	PLS
chr1	6702239	6702440	EH38E2782566	pELS
chr1	6783999	6784223	EH38E2782600	pELS
chr1	6784229	6784576	EH38E2782601	pELS
chr1	6784597	6784818	EH38E3953313	PLS
chr1	6785033	6785383	EH38E2782603	pELS
chr1	6911321	6911491	EH38E2782678	dELS
chr1	6912532	6912864	EH38E2782679	dELS
chr1	7769967	7770204	EH38E2783243	pELS
chr1	7770248	7770438	EH38E2783244	pELS
chr1	7770655	7770978	EH38E1315488	pELS
chr1	7771095	7771444	EH38E2783245	PLS
chr1	7771449	7771622	EH38E2783246	pELS
chr1	7771646	7771865	EH38E2783247	pELS
chr1	7772158	7772405	EH38E2783248	pELS
chr1	7827213	7827539	EH38E2783264	PLS
chr1	7827547	7827715	EH38E2783265	pELS
chr1	7827845	7828038	EH38E2783266	pELS
chr1	7953918	7954151	EH38E2783321	dELS
chr1	7954162	7954509	EH38E2783322	dELS
chr1	7954771	7954978	EH38E2783323	dELS
chr1	7960552	7960736	EH38E3953688	pELS
chr1	7961142	7961296	EH38E2783330	pELS
chr1	7961396	7961746	EH38E2783331	PLS
chr1	7961799	7962012	EH38E2783332	PLS
chr1	7962029	7962285	EH38E2783333	PLS
chr1	8004795	8004996	EH38E2783370	dELS
chr1	8004997	8005331	EH38E2783371	dELS
chr1	8005399	8005559	EH38E3953696	dELS
chr1	8026242	8026592	EH38E2783404	PLS
chr1	8026634	8026787	EH38E2783405	PLS
chr1	8121321	8121668	EH38E1315772	dELS
chr1	8122130	8122478	EH38E2783475	dELS
chr1	8122480	8122670	EH38E2783476	dELS
chr1	8122673	8123021	EH38E2783477	dELS
chr1	8197524	8197675	EH38E3953766	dELS
chr1	8197730	8198080	EH38E1315848	dELS
chr1	8198165	8198343	EH38E3953767	dELS
chr1	8211927	8212277	EH38E2783554	dELS
chr1	8409135	8409460	EH38E1316066	dELS
chr1	8422678	8423008	EH38E2783778	pELS
chr1	8423079	8423245	EH38E1316091	pELS
chr1	8423369	8423531	EH38E2783779	pELS
chr1	8423628	8423975	EH38E2783780	PLS
chr1	8424116	8424408	EH38E3953809	pELS
chr1	8424450	8424616	EH38E1316095	pELS
chr1	8520479	8520809	EH38E1316201	dELS
chr1	8520840	8520990	EH38E3953817	dELS
chr1	8525167	8525499	EH38E1316206	pELS
chr1	8525541	8525796	EH38E1316207	pELS
chr1	8525849	8526198	EH38E2783849	PLS
chr1	8541322	8541481	EH38E2783864	dELS
chr1	8542025	8542207	EH38E2783865	dELS
chr1	8542208	8542445	EH38E2783866	dELS
chr1	8701313	8701663	EH38E1316407	dELS
chr1	8788658	8788859	EH38E1316482	pELS
chr1	8788918	8789089	EH38E2784006	dELS
chr1	8789137	8789307	EH38E3953850	dELS
chr1	8789322	8789655	EH38E2784007	dELS
chr1	8789670	8789923	EH38E2784008	dELS
chr1	8789989	8790183	EH38E2784009	dELS
chr1	8790537	8790830	EH38E1316486	dELS
chr1	8791078	8791333	EH38E2784010	dELS
chr1	8792449	8792685	EH38E2784011	dELS
chr1	8792696	8792859	EH38E2784012	dELS
chr1	8815641	8815979	EH38E2784022	pELS
chr1	8815983	8816153	EH38E2784023	pELS
chr1	8816390	8816567	EH38E1316503	pELS
chr1	8816615	8816838	EH38E1316504	pELS
chr1	8816857	8817091	EH38E2784024	pELS
chr1	8817109	8817383	EH38E2784025	PLS
chr1	8817557	8817906	EH38E2784026	PLS
chr1	8817915	8818159	EH38E2784027	pELS
chr1	8818355	8818517	EH38E1316510	pELS
chr1	8818547	8818829	EH38E2784028	pELS
chr1	8871649	8871850	EH38E1316564	dELS
chr1	8873550	8873895	EH38E2784075	dELS
chr1	8873998	8874289	EH38E1316568	dELS
chr1	8875354	8875533	EH38E2784077	dELS
chr1	8875567	8875837	EH38E2784078	dELS
chr1	8876588	8876770	EH38E2784080	dELS
chr1	8876854	8877079	EH38E2784081	pELS
chr1	8877161	8877320	EH38E2784082	pELS
chr1	8877390	8877645	EH38E3953887	pELS
chr1	8877914	8878234	EH38E2784084	pELS
chr1	8878276	8878499	EH38E2784085	pELS
chr1	8878608	8878956	EH38E1316578	PLS
chr1	8878996	8879281	EH38E2784086	pELS
chr1	8879323	8879555	EH38E2784087	pELS
chr1	8879559	8879793	EH38E2784088	pELS
chr1	8880066	8880416	EH38E1316582	pELS
chr1	8880418	8880575	EH38E1316583	pELS
chr1	8899925	8900266	EH38E2784111	dELS
chr1	9128878	9129037	EH38E3953951	PLS
chr1	9129058	9129408	EH38E2784312	PLS
chr1	9234234	9234405	EH38E1316900	pELS
chr1	9234540	9234874	EH38E2784395	PLS
chr1	9234876	9235107	EH38E2784396	pELS
chr1	9235152	9235383	EH38E2784397	pELS
chr1	9292656	9293004	EH38E2784477	PLS
chr1	9300192	9300542	EH38E2784490	dELS
chr1	9428807	9429157	EH38E1317123	PLS
chr1	9538450	9538630	EH38E1317210	pELS
chr1	9538828	9539110	EH38E2784728	pELS
chr1	9539183	9539532	EH38E2784729	PLS
chr1	9539740	9539893	EH38E2784730	pELS
chr1	9539962	9540185	EH38E2784731	pELS
chr1	9540288	9540439	EH38E2784732	pELS
chr1	9540563	9540758	EH38E2784733	pELS
