chrom	start	end	rDHS	cCRE_type	gene_id	strand
chr1	1308334	1308678	EH38E2777328	PLS	ENSG00000169972.12	
chr1	1315582	1315931	EH38E2777344	dELS		
chr1	1324574	1324902	EH38E2777357	PLS	ENSG00000127054.22	-
chr1	1324574	1324902	EH38E2777357	PLS	ENSG00000224051.7	+
chr1	1344746	1345095	EH38E3951508	dELS		
chr1	1345189	1345421	EH38E2777399	dELS		
chr1	1348975	1349233	EH38E2777409	PLS	ENSG00000107404.21	-
chr1	1349300	1349649	EH38E2777410	PLS	ENSG00000107404.21	-
chr1	1358420	1358598	EH38E3951513	PLS	ENSG00000162576.17	-
chr1	1358600	1358946	EH38E2777428	PLS	ENSG00000162576.17	-
chr1	1375017	1375167	EH38E3951519	PLS	ENSG00000175756.14	-
chr1	1399285	1399634	EH38E2777478	PLS	ENSG00000221978.13	-
chr1	1399285	1399634	EH38E2777478	PLS	ENSG00000224870.8	
chr1	1400363	1400692	EH38E2777481	PLS	ENSG00000224870.8	
chr1	1402467	1402735	EH38E2777486	dELS		
chr1	1407146	1407496	EH38E2777492	PLS	ENSG00000242485.6	-
chr1	1435354	1435538	EH38E2777547	PLS	ENSG00000179403.12	+
chr1	1435565	1435875	EH38E2777548	PLS	ENSG00000179403.12	+
chr1	1471490	1471839	EH38E2777578	PLS	ENSG00000160072.20	+
chr1	1511887	1512233	EH38E2777613	PLS	ENSG00000197785.14	+
chr1	1512518	1512705	EH38E2777614	PLS	ENSG00000197785.14	+
chr1	1573860	1574185	EH38E1311014	PLS	ENSG00000215014.5	+
chr1	1574536	1574736	EH38E2777699	PLS	ENSG00000160075.12	-
chr1	1574750	1575097	EH38E2777700	PLS	ENSG00000160075.12	-
chr1	1597397	1597691	EH38E2777714	dELS		
chr1	1599988	1600337	EH38E2777721	PLS	ENSG00000228594.4	-
chr1	1599988	1600337	EH38E2777721	PLS	ENSG00000286989.1	
chr1	1615191	1615541	EH38E2777745	PLS	ENSG00000197530.13	+
chr1	1615639	1615956	EH38E2777746	PLS	ENSG00000197530.13	+
chr1	1615639	1615956	EH38E2777746	PLS	ENSG00000272106.1	-
chr1	1616075	1616404	EH38E2777747	PLS	ENSG00000197530.13	+
chr1	1658958	1659308	EH38E2777804	PLS	ENSG00000248333.9	-
chr1	1686233	1686538	EH38E2777846	dELS		
chr1	1692612	1692926	EH38E2777853	PLS	ENSG00000189339.12	-
chr1	1715058	1715404	EH38E1311125	dELS		
chr1	1724269	1724619	EH38E2777867	PLS	ENSG00000008128.23	-
chr1	1724269	1724619	EH38E2777867	PLS	ENSG00000227775.3	
chr1	1745711	1745959	EH38E2777880	PLS	ENSG00000215790.8	
chr1	1745964	1746197	EH38E2777881	PLS	ENSG00000215790.8	
chr1	1758767	1759115	EH38E2777903	dELS		
chr1	1759153	1759320	EH38E2777904	dELS		
chr1	1775971	1776127	EH38E2777927	dELS		
chr1	1778297	1778638	EH38E2777932	PLS	ENSG00000008130.15	-
chr1	1778801	1779150	EH38E1311174	PLS	ENSG00000008130.15	-
chr1	1782067	1782369	EH38E2777937	dELS		
chr1	1782490	1782835	EH38E2777938	dELS		
chr1	1782904	1783250	EH38E2777939	dELS		
chr1	1890996	1891331	EH38E1311282	PLS	ENSG00000078369.18	
chr1	1890996	1891331	EH38E1311282	PLS	ENSG00000231050.2	
chr1	1908544	1908747	EH38E2778055	dELS		
chr1	1908779	1909031	EH38E3951733	dELS		
chr1	1909055	1909402	EH38E2778057	dELS		
chr1	1909439	1909698	EH38E2778058	dELS		
chr1	1909719	1909941	EH38E2778059	dELS		
chr1	1918501	1918847	EH38E2778078	PLS	ENSG00000178821.13	-
chr1	2003662	2004009	EH38E3951768	PLS	ENSG00000142609.20	-
chr1	2050131	2050479	EH38E2778248	PLS	ENSG00000067606.17	+
chr1	2175806	2176048	EH38E2778463	dELS		
chr1	2176063	2176325	EH38E2778464	dELS		
chr1	2176393	2176551	EH38E2778465	dELS		
chr1	2176657	2176815	EH38E3951807	dELS		
chr1	2179468	2179817	EH38E2778471	dELS		
chr1	2180360	2180705	EH38E2778473	dELS		
chr1	2189468	2189818	EH38E1311579	dELS		
chr1	2189933	2190139	EH38E2778486	dELS		
chr1	2190156	2190413	EH38E2778487	dELS		
chr1	2190455	2190657	EH38E2778488	dELS		
chr1	2190676	2190963	EH38E2778489	dELS		
chr1	2194584	2194880	EH38E3951812	PLS	ENSG00000162585.17	-
chr1	2197853	2198142	EH38E2778506	dELS		
chr1	2199176	2199526	EH38E2778509	dELS		
chr1	2199599	2199771	EH38E1311600	dELS		
chr1	2204424	2204677	EH38E2778517	dELS		
chr1	2204807	2205041	EH38E2778518	dELS		
chr1	2205052	2205328	EH38E2778519	dELS		
chr1	2205343	2205630	EH38E2778520	dELS		
chr1	2205728	2205910	EH38E2778521	dELS		
chr1	2228190	2228360	EH38E2778563	PLS	ENSG00000157933.10	
chr1	2230324	2230654	EH38E2778569	dELS		
chr1	2230709	2231027	EH38E3951819	dELS		
chr1	2231048	2231396	EH38E3951820	dELS		
chr1	2231399	2231569	EH38E3951821	dELS		
chr1	2231736	2231898	EH38E2778573	dELS		
chr1	2231904	2232251	EH38E3951822	dELS		
chr1	2232320	2232527	EH38E3951823	dELS		
chr1	2232656	2232995	EH38E2778577	dELS		
chr1	2232999	2233267	EH38E2778578	dELS		
chr1	2255335	2255512	EH38E2778622	dELS		
chr1	2255520	2255746	EH38E2778623	dELS		
chr1	2255832	2256158	EH38E2778624	dELS		
chr1	2256160	2256314	EH38E2778625	dELS		
chr1	2290651	2290998	EH38E2778680	dELS		
chr1	2314803	2315077	EH38E2778729	PLS	ENSG00000287356.1	
chr1	2391520	2391869	EH38E2778854	PLS	ENSG00000116151.14	-
chr1	2391520	2391869	EH38E2778854	PLS	ENSG00000157916.20	+
chr1	2391934	2392163	EH38E2778855	PLS	ENSG00000157916.20	+
chr1	2412480	2412830	EH38E2778889	PLS	ENSG00000157911.11	-
chr1	2526466	2526709	EH38E2779065	PLS	ENSG00000157881.16	-
chr1	2540848	2541194	EH38E2779094	dELS		
chr1	2541624	2541875	EH38E2779095	dELS		
chr1	2542044	2542207	EH38E2779096	dELS		
chr1	2542447	2542783	EH38E2779097	dELS		
chr1	2543573	2543742	EH38E2779099	dELS		
chr1	2543760	2544106	EH38E1312060	dELS		
chr1	2544268	2544595	EH38E1312061	dELS		
chr1	2544636	2544866	EH38E2779100	dELS		
chr1	2544906	2545150	EH38E2779101	dELS		
chr1	2545633	2545834	EH38E2779103	dELS		
chr1	2546091	2546441	EH38E2779104	dELS		
chr1	2546584	2546811	EH38E2779105	dELS		
chr1	2546887	2547234	EH38E2779106	dELS		
chr1	2547270	2547449	EH38E3951917	dELS		
chr1	2547453	2547605	EH38E2779108	dELS		
chr1	2547691	2547994	EH38E3951918	dELS		
chr1	2547999	2548347	EH38E3951919	dELS		
chr1	2548384	2548585	EH38E2779111	dELS		
chr1	2548695	2549045	EH38E2779112	dELS		
chr1	2556380	2556728	EH38E2779127	PLS	ENSG00000157873.18	+
chr1	2556821	2557171	EH38E1312085	PLS	ENSG00000238164.6	
chr1	2585515	2585728	EH38E2779172	PLS	ENSG00000289610.1	
chr1	2586397	2586745	EH38E2779175	PLS	ENSG00000157870.17	+
chr1	2586910	2587086	EH38E2779176	PLS	ENSG00000157870.17	+
chr1	2642507	2642820	EH38E2779259	dELS		
chr1	2642877	2643046	EH38E3951962	dELS		
chr1	2643072	2643421	EH38E2779261	dELS		
chr1	3454345	3454660	EH38E2780140	PLS	ENSG00000130762.15	+
chr1	3454664	3454847	EH38E3952264	PLS	ENSG00000130762.15	+
chr1	3531305	3531653	EH38E2780292	PLS	ENSG00000162591.16	
chr1	3624719	3625068	EH38E2780437	PLS	ENSG00000158109.15	+
chr1	3624719	3625068	EH38E2780437	PLS	ENSG00000238260.2	
chr1	3649994	3650342	EH38E2780474	PLS	ENSG00000116213.16	-
chr1	3652156	3652480	EH38E3952308	PLS	ENSG00000078900.15	
chr1	3652549	3652748	EH38E2780480	PLS	ENSG00000078900.15	
chr1	3746454	3746784	EH38E2780638	PLS	ENSG00000227372.12	
chr1	3747257	3747607	EH38E2780640	PLS	ENSG00000227372.12	
chr1	3772420	3772770	EH38E2780654	PLS	ENSG00000235169.11	+
chr1	3772814	3773019	EH38E2780655	PLS	ENSG00000235169.11	+
chr1	3774828	3775178	EH38E2780660	dELS		
chr1	3775266	3775438	EH38E2780661	dELS		
chr1	3775499	3775799	EH38E2780662	dELS		
chr1	3775947	3776296	EH38E2780663	dELS		
chr1	3776330	3776494	EH38E2780664	dELS		
chr1	3776543	3776883	EH38E2780665	dELS		
chr1	3777141	3777490	EH38E2780666	dELS		
chr1	3793564	3793905	EH38E1313036	dELS		
chr1	3796375	3796720	EH38E2780696	PLS	ENSG00000130764.10	-
chr1	3803927	3804121	EH38E2780705	dELS		
chr1	3804126	3804476	EH38E2780706	dELS		
chr1	3804583	3804870	EH38E2780707	dELS		
chr1	3805081	3805418	EH38E2780708	dELS		
chr1	3805726	3805900	EH38E1313051	dELS		
chr1	3822521	3822800	EH38E2780731	dELS		
chr1	3857169	3857516	EH38E2780749	PLS	ENSG00000116198.14	-
chr1	3857169	3857516	EH38E2780749	PLS	ENSG00000169598.17	+
chr1	3900085	3900426	EH38E1313124	PLS	ENSG00000198912.12	-
chr1	3900085	3900426	EH38E1313124	PLS	ENSG00000236423.7	
chr1	3975890	3976236	EH38E2780852	PLS	ENSG00000284668.2	
chr1	5885820	5886155	EH38E1313909	dELS		
chr1	5892954	5893134	EH38E2781622	dELS		
chr1	5893192	5893525	EH38E2781623	dELS		
chr1	5917227	5917570	EH38E1313940	dELS		
chr1	5917665	5918015	EH38E2781647	dELS		
chr1	5992167	5992333	EH38E2781721	PLS	ENSG00000069424.16	+
chr1	5992397	5992745	EH38E2781722	PLS	ENSG00000069424.16	+
chr1	5992397	5992745	EH38E2781722	PLS	ENSG00000131697.18	-
chr1	6006935	6007274	EH38E2781756	dELS		
chr1	6007406	6007748	EH38E1314027	dELS		
chr1	6197849	6198053	EH38E3953141	PLS	ENSG00000285629.1	-
chr1	6199504	6199854	EH38E1314191	PLS	ENSG00000116251.11	-
chr1	6200574	6200742	EH38E1314194	PLS	ENSG00000116251.11	-
chr1	6205634	6205818	EH38E3953143	PLS	ENSG00000226944.1	
chr1	6205971	6206172	EH38E2781997	PLS	ENSG00000158286.13	+
chr1	6206174	6206416	EH38E2781998	PLS	ENSG00000158286.13	+
chr1	6208672	6209019	EH38E1314204	dELS		
chr1	6209178	6209526	EH38E1314205	dELS		
chr1	6209701	6209988	EH38E2782003	dELS		
chr1	6234497	6234839	EH38E1314222	PLS	ENSG00000225077.3	
chr1	6235845	6236195	EH38E2782025	PLS	ENSG00000116237.16	-
chr1	6260916	6261252	EH38E2782060	PLS	ENSG00000158292.7	-
chr1	6393293	6393642	EH38E2782208	PLS	ENSG00000097021.20	
chr1	6393293	6393642	EH38E2782208	PLS	ENSG00000271746.1	+
chr1	6393653	6393957	EH38E2782209	PLS	ENSG00000097021.20	
chr1	6419777	6420122	EH38E2782241	PLS	ENSG00000069812.11	-
chr1	6424414	6424571	EH38E1314433	PLS	ENSG00000069812.11	-
chr1	6424580	6424929	EH38E2782252	PLS	ENSG00000069812.11	-
chr1	6424580	6424929	EH38E2782252	PLS	ENSG00000187017.18	+
chr1	6490469	6490813	EH38E2782359	PLS	ENSG00000171680.23	-
chr1	6554397	6554747	EH38E2782418	PLS	ENSG00000162408.11	-
chr1	6579741	6580091	EH38E2782436	PLS	ENSG00000204859.13	+
chr1	6581883	6582233	EH38E2782439	dELS		
chr1	6584720	6585067	EH38E2782441	dELS		
chr1	6585196	6585542	EH38E2782442	dELS		
chr1	6600583	6600793	EH38E1314628	dELS		
chr1	6602793	6603141	EH38E2782480	PLS	ENSG00000162413.17	-
chr1	6609808	6610083	EH38E2782490	dELS		
chr1	6613422	6613759	EH38E1314649	PLS	ENSG00000116273.6	+
chr1	6614442	6614670	EH38E2782498	PLS	ENSG00000162413.17	-
chr1	6614692	6614914	EH38E2782499	PLS	ENSG00000162413.17	-
chr1	6624641	6624991	EH38E2782510	PLS	ENSG00000041988.16	+
chr1	6625003	6625352	EH38E2782511	PLS	ENSG00000041988.16	+
chr1	6666714	6667061	EH38E2782548	dELS		
chr1	6701735	6702085	EH38E2782565	PLS	ENSG00000007923.17	-
chr1	6784597	6784818	EH38E3953313	PLS	ENSG00000237436.1	
chr1	6911321	6911491	EH38E2782678	dELS		
chr1	6912532	6912864	EH38E2782679	dELS		
chr1	7771095	7771444	EH38E2783245	PLS	ENSG00000049245.13	+
chr1	7827213	7827539	EH38E2783264	PLS	ENSG00000236266.1	
chr1	7953918	7954151	EH38E2783321	dELS		
chr1	7954162	7954509	EH38E2783322	dELS		
chr1	7954771	7954978	EH38E2783323	dELS		
chr1	7961396	7961746	EH38E2783331	PLS	ENSG00000116288.13	+
chr1	7961799	7962012	EH38E2783332	PLS	ENSG00000116288.13	+
chr1	7962029	7962285	EH38E2783333	PLS	ENSG00000116288.13	+
chr1	8004795	8004996	EH38E2783370	dELS		
chr1	8004997	8005331	EH38E2783371	dELS		
chr1	8005399	8005559	EH38E3953696	dELS		
chr1	8026242	8026592	EH38E2783404	PLS	ENSG00000116285.13	-
chr1	8026634	8026787	EH38E2783405	PLS	ENSG00000238290.1	
chr1	8121321	8121668	EH38E1315772	dELS		
chr1	8122130	8122478	EH38E2783475	dELS		
chr1	8122480	8122670	EH38E2783476	dELS		
chr1	8122673	8123021	EH38E2783477	dELS		
chr1	8197524	8197675	EH38E3953766	dELS		
chr1	8197730	8198080	EH38E1315848	dELS		
chr1	8198165	8198343	EH38E3953767	dELS		
chr1	8211927	8212277	EH38E2783554	dELS		
chr1	8409135	8409460	EH38E1316066	dELS		
chr1	8423628	8423975	EH38E2783780	PLS	ENSG00000142599.19	
chr1	8520479	8520809	EH38E1316201	dELS		
chr1	8520840	8520990	EH38E3953817	dELS		
chr1	8525849	8526198	EH38E2783849	PLS	ENSG00000142599.19	
chr1	8541322	8541481	EH38E2783864	dELS		
chr1	8542025	8542207	EH38E2783865	dELS		
chr1	8542208	8542445	EH38E2783866	dELS		
chr1	8701313	8701663	EH38E1316407	dELS		
chr1	8788918	8789089	EH38E2784006	dELS		
chr1	8789137	8789307	EH38E3953850	dELS		
chr1	8789322	8789655	EH38E2784007	dELS		
chr1	8789670	8789923	EH38E2784008	dELS		
chr1	8789989	8790183	EH38E2784009	dELS		
chr1	8790537	8790830	EH38E1316486	dELS		
chr1	8791078	8791333	EH38E2784010	dELS		
chr1	8792449	8792685	EH38E2784011	dELS		
chr1	8792696	8792859	EH38E2784012	dELS		
chr1	8817109	8817383	EH38E2784025	PLS	ENSG00000142599.19	
chr1	8817557	8817906	EH38E2784026	PLS	ENSG00000142599.19	
chr1	8871649	8871850	EH38E1316564	dELS		
chr1	8873550	8873895	EH38E2784075	dELS		
chr1	8873998	8874289	EH38E1316568	dELS		
chr1	8875354	8875533	EH38E2784077	dELS		
chr1	8875567	8875837	EH38E2784078	dELS		
chr1	8876588	8876770	EH38E2784080	dELS		
chr1	8878608	8878956	EH38E1316578	PLS	ENSG00000074800.16	-
chr1	8878608	8878956	EH38E1316578	PLS	ENSG00000230679.1	
chr1	8899925	8900266	EH38E2784111	dELS		
chr1	9128878	9129037	EH38E3953951	PLS	ENSG00000180758.12	-
chr1	9129058	9129408	EH38E2784312	PLS	ENSG00000180758.12	-
chr1	9234540	9234874	EH38E2784395	PLS	ENSG00000049239.13	+
chr1	9292656	9293004	EH38E2784477	PLS	ENSG00000171621.14	+
chr1	9300192	9300542	EH38E2784490	dELS		
chr1	9428807	9429157	EH38E1317123	PLS	ENSG00000284693.2	
chr1	9539183	9539532	EH38E2784729	PLS	ENSG00000171612.7	+
chr1	9588930	9589086	EH38E2784775	PLS	ENSG00000188807.13	+
chr1	9651625	9651965	EH38E2784859	PLS	ENSG00000171608.17	
chr1	9657321	9657670	EH38E2784870	dELS		
chr1	9657698	9658042	EH38E2784871	dELS		
chr1	9687360	9687706	EH38E2784896	PLS	ENSG00000231789.3	
chr1	9712875	9713039	EH38E2784919	dELS		
chr1	9716944	9717243	EH38E2784926	dELS		
chr1	9717335	9717590	EH38E2784927	dELS		
chr1	9717658	9718008	EH38E3954077	dELS		
chr1	9718014	9718171	EH38E3954078	dELS		
chr1	9718710	9719052	EH38E2784931	dELS		
chr1	9719113	9719462	EH38E2784932	dELS		
chr1	9774753	9775077	EH38E2784991	dELS		
chr1	9823920	9824270	EH38E2785044	PLS	ENSG00000171603.18	-
chr1	9910327	9910675	EH38E2785154	PLS	ENSG00000178585.15	-
chr1	9912326	9912559	EH38E1317608	dELS		
chr1	9912698	9912900	EH38E2785158	dELS		
chr1	9929005	9929178	EH38E2785164	dELS		
chr1	9929444	9929792	EH38E2785165	dELS		
chr1	9930003	9930321	EH38E2785166	dELS		
chr1	9942725	9942983	EH38E2785169	PLS	ENSG00000162441.12	-
chr1	9942725	9942983	EH38E2785169	PLS	ENSG00000228150.1	
chr1	9942985	9943155	EH38E2785170	PLS	ENSG00000228150.1	
chr1	9943188	9943529	EH38E1317631	PLS	ENSG00000162441.12	-
chr1	9943188	9943529	EH38E1317631	PLS	ENSG00000173614.14	+
chr1	9950354	9950702	EH38E2785178	dELS		
chr1	10032657	10033007	EH38E2785217	PLS	ENSG00000130939.20	+
chr1	10033214	10033460	EH38E2785218	PLS	ENSG00000130939.20	+
chr1	10045613	10045768	EH38E3954155	dELS		
chr1	10045936	10046269	EH38E1317690	dELS		
chr1	10065304	10065651	EH38E2785245	dELS		
chr1	10067064	10067402	EH38E2785247	dELS		
chr1	10210271	10210621	EH38E1317823	PLS	ENSG00000054523.20	+
chr1	10210812	10211138	EH38E2785323	PLS	ENSG00000054523.20	+
chr1	10211400	10211748	EH38E2785325	PLS	ENSG00000054523.20	+
chr1	10378461	10378799	EH38E2785390	dELS		
chr1	10398746	10399096	EH38E1317949	PLS	ENSG00000142657.21	+
chr1	10415191	10415392	EH38E2785412	dELS		
chr1	10415393	10415641	EH38E2785413	dELS		
chr1	10429827	10430177	EH38E1317977	PLS	ENSG00000251503.8	+
chr1	10430244	10430532	EH38E2785431	PLS	ENSG00000175279.22	+
chr1	10430244	10430532	EH38E2785431	PLS	ENSG00000251503.8	+
chr1	10430574	10430856	EH38E2785432	PLS	ENSG00000251503.8	+
chr1	10430574	10430856	EH38E2785432	PLS	ENSG00000271989.1	-
chr1	10430991	10431324	EH38E1317980	PLS	ENSG00000175279.22	+
chr1	10430991	10431324	EH38E1317980	PLS	ENSG00000251503.8	+
chr1	10472253	10472409	EH38E2785452	PLS	ENSG00000160049.12	-
chr1	10472477	10472827	EH38E1318009	PLS	ENSG00000160049.12	-
chr1	10474737	10475087	EH38E3954222	PLS	ENSG00000142655.13	+
chr1	10510904	10511253	EH38E1318043	dELS		
chr1	10511274	10511428	EH38E1318044	dELS		
chr1	10511641	10511914	EH38E2785480	dELS		
chr1	10556400	10556610	EH38E1318100	dELS		
chr1	11012332	11012491	EH38E3954337	PLS	ENSG00000120948.19	+
chr1	11012493	11012761	EH38E2786048	PLS	ENSG00000120948.19	+
chr1	11059955	11060305	EH38E2786082	PLS	ENSG00000116649.10	-
chr1	11099314	11099620	EH38E2786100	PLS	ENSG00000230337.2	
chr1	11099703	11100052	EH38E2786101	PLS	ENSG00000171824.14	-
chr1	11262542	11262888	EH38E2786176	PLS	ENSG00000198793.13	
chr1	11272885	11273234	EH38E2786181	PLS	ENSG00000120942.14	+
chr1	11273367	11273545	EH38E1318745	PLS	ENSG00000120942.14	+
chr1	11273594	11273768	EH38E2786182	PLS	ENSG00000120942.14	+
chr1	11478986	11479334	EH38E2786307	PLS	ENSG00000204624.8	+
chr1	11654062	11654299	EH38E3954546	PLS	ENSG00000132879.14	+
chr1	11654370	11654571	EH38E2786413	PLS	ENSG00000116661.11	-
chr1	11654370	11654571	EH38E2786413	PLS	ENSG00000132879.14	+
chr1	11654641	11654989	EH38E2786414	PLS	ENSG00000132879.14	+
chr1	11664032	11664380	EH38E2786425	PLS	ENSG00000116663.11	+
chr1	11670707	11671035	EH38E2786431	dELS		
chr1	11671071	11671240	EH38E2786432	dELS		
chr1	11671309	11671500	EH38E2786433	dELS		
chr1	11671501	11671837	EH38E2786434	dELS		
chr1	11671887	11672039	EH38E1318992	dELS		
chr1	11680865	11681067	EH38E2786445	PLS	ENSG00000116670.15	
chr1	11707278	11707545	EH38E2786480	dELS		
chr1	11707749	11708089	EH38E1319034	dELS		
chr1	11729711	11730058	EH38E2786499	dELS		
chr1	11731743	11732090	EH38E2786500	dELS		
chr1	11735834	11736183	EH38E2786506	PLS	ENSG00000177674.16	+
chr1	11736190	11736464	EH38E3954583	PLS	ENSG00000177674.16	+
chr1	11738802	11739150	EH38E2786512	dELS		
chr1	11740511	11740789	EH38E1319065	dELS		
chr1	11740845	11741195	EH38E1319066	dELS		
chr1	11752376	11752718	EH38E2786530	dELS		
chr1	11752789	11752950	EH38E2786531	dELS		
chr1	11762002	11762340	EH38E2786537	PLS	ENSG00000215910.8	+
chr1	11785106	11785451	EH38E3954605	dELS		
chr1	11785543	11785893	EH38E3954606	dELS		
chr1	11786114	11786392	EH38E2786559	dELS		
chr1	11786408	11786606	EH38E2786560	dELS		
chr1	11786670	11786861	EH38E1319089	dELS		
chr1	11787337	11787529	EH38E2786562	dELS		
chr1	11787532	11787858	EH38E2786563	dELS		
chr1	11787892	11788099	EH38E3954607	dELS		
chr1	11790499	11790791	EH38E2786572	dELS		
chr1	11790851	11791200	EH38E2786573	dELS		
chr1	11791232	11791580	EH38E2786574	dELS		
chr1	11792100	11792292	EH38E2786576	dELS		
chr1	11792528	11792789	EH38E1319103	dELS		
chr1	11792840	11793011	EH38E2786577	dELS		
chr1	11796239	11796463	EH38E2786581	PLS	ENSG00000177000.13	-
chr1	11796470	11796817	EH38E2786582	PLS	ENSG00000177000.13	-
chr1	11798435	11798766	EH38E2786585	dELS		
chr1	11799388	11799552	EH38E2786587	dELS		
chr1	11800786	11801134	EH38E2786589	dELS		
chr1	11801155	11801452	EH38E2786590	dELS		
chr1	11803027	11803375	EH38E2786595	PLS	ENSG00000177000.13	-
chr1	11805150	11805354	EH38E2786600	PLS	ENSG00000177000.13	-
chr1	11805489	11805695	EH38E1319122	PLS	ENSG00000177000.13	-
chr1	11805904	11806254	EH38E2786601	PLS	ENSG00000011021.23	+
chr1	11805904	11806254	EH38E2786601	PLS	ENSG00000177000.13	-
chr1	11806329	11806485	EH38E2786602	PLS	ENSG00000011021.23	+
chr1	11841313	11841663	EH38E1319148	dELS		
chr1	11880833	11880986	EH38E1319184	dELS		
chr1	11881081	11881428	EH38E1319185	dELS		
chr1	11881833	11882080	EH38E2786660	dELS		
chr1	11882088	11882262	EH38E2786661	dELS		
chr1	11882880	11883206	EH38E2786663	dELS		
chr1	11883215	11883478	EH38E1319188	dELS		
chr1	11926347	11926697	EH38E1319233	PLS	ENSG00000116685.16	
chr1	11929851	11930200	EH38E1319237	dELS		
chr1	11930385	11930562	EH38E2786711	dELS		
chr1	11934459	11934808	EH38E2786714	PLS	ENSG00000083444.17	+
chr1	11939064	11939400	EH38E3954670	dELS		
chr1	11973199	11973542	EH38E2786736	dELS		
chr1	11979894	11980047	EH38E2786744	PLS	ENSG00000287384.1	-
chr1	11980081	11980431	EH38E1319274	PLS	ENSG00000116688.18	+
chr1	11980081	11980431	EH38E1319274	PLS	ENSG00000287384.1	-
chr1	11983462	11983804	EH38E2786748	dELS		
chr1	11984178	11984466	EH38E1319281	dELS		
chr1	12001622	12001923	EH38E2786760	dELS		
chr1	12004409	12004689	EH38E1319299	dELS		
chr1	12005509	12005859	EH38E1319301	dELS		
chr1	12005947	12006132	EH38E3954689	dELS		
chr1	12006511	12006685	EH38E3954690	dELS		
chr1	12006733	12006917	EH38E3954691	dELS		
chr1	12014064	12014403	EH38E2786777	dELS		
chr1	12014496	12014671	EH38E1319312	dELS		
chr1	12014705	12015050	EH38E1319313	dELS		
chr1	12015093	12015255	EH38E1319314	dELS		
chr1	12019186	12019536	EH38E2786780	PLS	ENSG00000116691.11	+
chr1	12052009	12052357	EH38E1319347	dELS		
chr1	12063128	12063448	EH38E2786827	PLS	ENSG00000120949.15	+
chr1	12075333	12075570	EH38E1319372	dELS		
chr1	12075715	12076065	EH38E2786841	dELS		
chr1	12161654	12161806	EH38E2786926	dELS		
chr1	12161813	12162160	EH38E2786927	dELS		
chr1	12166803	12167132	EH38E2786939	PLS	ENSG00000028137.19	+
chr1	12166803	12167132	EH38E2786939	PLS	ENSG00000283789.1	+
chr1	12174910	12175078	EH38E2786954	dELS		
chr1	12175080	12175429	EH38E2786955	dELS		
chr1	12175559	12175719	EH38E2786956	dELS		
chr1	12195504	12195739	EH38E2786995	dELS		
chr1	12218281	12218485	EH38E2787030	dELS		
chr1	12218534	12218878	EH38E2787031	dELS		
chr1	12218878	12219067	EH38E2787032	dELS		
chr1	12229817	12230166	EH38E2787036	PLS	ENSG00000048707.15	+
chr1	12406327	12406676	EH38E1319670	dELS		
